"","x"
"3176",4
"3177",1
"3178",4
"3179",6
"3180",7
"3181",1
"3182",5
"3183",13
"3184",8
"3185",8
"3186",1
"3187",12
"3188",6
"3189",9
"3190",6
"3191",4
"3192",2
"3193",7
"3194",8
"3195",7
"3196",1
"3197",1
"3198",8
"3199",4
"3200",5
"3201",1
"3202",7
"3203",15
"3204",7
"3205",3
"3206",7
"3207",1
"3208",7
"3209",1
"3210",1
"3211",5
"3212",4
"3213",2
"3214",8
"3215",13
"3216",11
"3217",10
"3218",8
"3219",15
"3220",10
"3221",8
"3222",7
"3223",8
"3224",8
"3225",6
"3226",8
"3227",7
"3228",7
"3229",4
"3230",1
"3231",1
"3232",3
"3233",8
"3234",13
"3235",5
"3236",8
"3237",5
"3238",1
"3239",4
"3240",7
"3241",8
"3242",9
"3243",8
"3244",8
"3245",11
"3246",6
"3247",8
"3248",11
"3249",4
"3250",5
"3251",7
"3252",7
"3253",11
"3254",8
"3255",7
"3256",7
"3257",8
"3258",10
"3259",6
"3260",9
"3261",7
"3262",10
"3263",1
"3264",3
"3265",11
"3266",8
"3267",6
"3268",1
"3269",11
"3270",7
"3271",7
"3272",8
"3273",5
"3274",8
"3275",7
"3276",11
"3277",8
"3278",11
"3279",5
"3280",8
"3281",10
"3282",7
"3283",7
"3284",10
"3285",8
"3286",7
"3287",8
"3288",10
"3289",8
"3290",7
"3291",6
"3292",6
"3293",6
"3294",11
"3295",8
"3296",7
"3297",7
"3298",10
"3299",7
"3300",7
"3301",7
"3302",7
"3303",4
"3304",15
"3305",10
"3306",9
"3307",8
"3308",6
"3309",3
"3310",7
"3311",1
"3312",4
"3313",7
"3314",8
"3315",8
"3316",9
"3317",7
"3318",10
"3319",8
"3320",7
"3321",6
"3322",8
"3323",10
"3324",6
"3325",10
"3326",10
"3327",8
"3328",8
"3329",6
"3330",9
"3331",7
"3332",7
"3333",10
"3334",8
"3335",8
"3336",5
"3337",10
"3338",10
"3339",7
"3340",10
"3341",2
"3342",10
"3343",7
"3344",6
"3345",1
"3346",4
"3347",8
"3348",6
"3349",3
"3350",3
"3351",1
"3352",8
"3353",8
"3354",9
"3355",8
"3356",13
"3357",7
"3358",1
"3359",8
"3360",10
"3361",8
"3362",10
"3363",3
"3364",9
"3365",3
"3366",1
"3367",7
"3368",10
"3369",7
"3370",13
"3371",4
"3372",8
"3373",8
"3374",1
"3375",6
"3376",11
