"","Embryos0002","Embryos0204","Embryos0406","Embryos0608","Embryos0810","Embryos1012","Embryos1214","Embryos1416","Embryos1618","Embryos1820","Embryos2022","Embryos2224"
"FBgn0036152",5750,2083,922,850,1424,5186,7218,8398,6790,4606,1907,3822
"FBgn0036153",5,4,11,6,14,10,11,3,10,15,3,14
"FBgn0036154",0,2,4,6,8,2,3,1,3,7,16,23
"FBgn0036155",1332,61,80,72,121,155,180,354,233,175,66,137
"FBgn0036156",0,0,3,3,5,8,7,7,8,2,1,8
"FBgn0036157",1,14,185,217,221,176,257,234,289,222,78,170
"FBgn0036158",0,0,11,2,0,5,0,0,0,0,0,3
"FBgn0036159",0,1,2,2,4,4,5,4,1,3,1,7
"FBgn0036160",0,1,3,0,4,2,1,2,0,1,0,0
"FBgn0036161",0,0,1,0,1,1,0,2,1,2,0,1
"FBgn0036162",0,5,15,12,14,16,14,13,35,68,25,46
"FBgn0036164",0,3,19,29,23,30,26,8,5,15,1,5
"FBgn0036165",11407,6146,23269,25361,25239,25746,44594,22290,18044,14945,7057,16954
"FBgn0036168",8,12,39,22,81,524,1136,649,387,387,191,428
"FBgn0036173",1376,808,2330,1233,1200,1642,2305,1231,1503,1392,989,2349
"FBgn0036176",0,0,0,0,0,0,0,1,2,4,0,1
"FBgn0036177",0,0,0,0,0,0,0,0,9,5,1,4
"FBgn0036178",0,0,0,0,0,0,0,0,3,1,0,3
"FBgn0036179",4,2,4,6,7,6,29,110,165,117,76,167
"FBgn0036180",7198,2550,7492,4431,3821,4564,5817,3844,3150,3310,1480,3050
"FBgn0036181",2,1,0,2,5,2,1,3,1,7,19,133
"FBgn0036183",0,2,1,1,3,4,2,7,70,247,257,403
"FBgn0036184",3111,3646,8123,2840,2220,1776,2021,1240,862,531,285,807
"FBgn0036186",104,322,1442,809,730,583,552,156,175,178,305,619
"FBgn0036187",5400,3765,4717,3694,4322,4521,5500,3144,2712,1868,2993,5465
"FBgn0036188",1590,748,4378,3744,3733,4836,3078,1355,801,615,840,1325
"FBgn0036191",2865,2265,4229,3812,3349,3870,4920,4103,2908,1347,881,2081
"FBgn0036192",398,428,340,232,335,511,592,311,278,234,219,444
"FBgn0036193",451,460,891,406,488,541,779,113,198,144,165,367
"FBgn0036194",6273,9015,14023,6368,8852,13629,13076,6901,6709,7211,3018,6457
"FBgn0036195",2,15,128,12,8,114,123,72,83,105,28,51
"FBgn0036196",876,1005,819,1621,3658,9720,15724,10037,11781,10192,3437,7652
"FBgn0036198",1732,1029,5889,4790,4820,8697,9165,5406,3657,2689,1067,2302
"FBgn0036199",498,421,1162,962,1223,1619,2071,1066,916,907,589,1335
"FBgn0036202",25,41,215,1201,2571,4774,9382,5736,4420,3198,1357,3118
"FBgn0036203",0,0,7,3,17,0,9,5,9,14,8,34
"FBgn0036204",0,0,5,2,1,1,1,2,3,3,0,8
"FBgn0036205",62,33,94,70,71,275,988,852,1258,2546,1431,3419
"FBgn0036206",28,161,716,239,189,306,382,215,153,158,38,88
"FBgn0036207",881,1569,4549,1797,1613,1279,2041,607,548,328,274,709
"FBgn0036208",8,5,21,105,155,1555,2378,2103,1541,1199,1123,2437
"FBgn0036210",451,233,698,460,441,593,780,594,612,616,308,625
"FBgn0036211",4019,2545,2739,1687,1679,2471,3668,3165,3031,6018,4266,10850
"FBgn0036212",156,315,2100,1056,599,597,609,491,312,241,74,193
"FBgn0036213",60203,83378,233503,148373,161631,234197,224451,179453,150387,143070,99475,193580
"FBgn0036214",13,50,204,177,114,239,360,289,310,272,46,125
"FBgn0036217",0,0,0,0,1,0,0,2,3,4,3,3
"FBgn0036218",0,0,1,0,2,0,2,17,29,23,9,37
"FBgn0036219",0,0,0,1,3,58,121,95,104,80,48,71
"FBgn0036220",0,1,5,2,8,10,28,184,432,570,239,653
"FBgn0036221",0,3,5,1,2,0,0,0,2,1,0,1
"FBgn0036222",2,42,95,7,4,7,9,2,7,3,4,7
"FBgn0036223",14,207,144,13,16,18,15,45,91,234,223,359
"FBgn0036224",3,1,5,2,2,3,14,8,16,13,14,28
"FBgn0036225",2,3,2,3,3,11,1,25,198,1460,2256,6144
"FBgn0036226",3,2,6,10,6,5,6,8,140,1421,2095,6156
